ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,COUNTRY,PRODUCTLINE,CUSTOMERNAME,REVENUE_PER_UNIT,ORDER_SIZE
10107,30,95.7,2,2871.0,2003-02-24,Shipped,1,2,2003,Usa,Motorcycles,Land Of Toys Inc.,95.7,229
10121,34,81.35,5,2765.9,2003-05-07,Shipped,2,5,2003,France,Motorcycles,Reims Collectables,81.35000000000001,185
10134,41,94.74,2,3884.34,2003-07-01,Shipped,3,7,2003,France,Motorcycles,Lyon Souveniers,94.74000000000001,227
10145,45,83.26,6,3746.7,2003-08-25,Shipped,3,8,2003,Usa,Motorcycles,Toys4Grownups.Com,83.25999999999999,563
10159,49,100.0,14,5205.27,2003-10-10,Shipped,4,10,2003,Usa,Motorcycles,Corporate Gift Ideas Co.,106.23,585
10168,36,96.66,1,3479.76,2003-10-28,Shipped,4,10,2003,Usa,Motorcycles,Technics Stores Inc.,96.66000000000001,642
10180,29,86.13,9,2497.77,2003-11-11,Shipped,4,11,2003,France,Motorcycles,Daedalus Designs Imports,86.13,458
10188,48,100.0,1,5512.32,2003-11-18,Shipped,4,11,2003,Norway,Motorcycles,Herkku Gifts,114.83999999999999,301
10201,22,98.57,2,2168.54,2003-12-01,Shipped,4,12,2003,Usa,Motorcycles,Mini Wheels Co.,98.57,214
10211,41,100.0,14,4708.44,2004-01-15,Shipped,1,1,2004,France,Motorcycles,Auto Canal Petit,114.83999999999999,530
10223,37,100.0,1,3965.66,2004-02-20,Shipped,1,2,2004,Australia,Motorcycles,"Australian Collectors, Co.",107.17999999999999,497
10237,23,100.0,7,2333.12,2004-04-05,Shipped,2,4,2004,Usa,Motorcycles,Vitachrome Inc.,101.44,239
10251,28,100.0,2,3188.64,2004-05-18,Shipped,2,5,2004,Usa,Motorcycles,Tekni Collectables Inc.,113.88,216
10263,34,100.0,2,3676.76,2004-06-28,Shipped,2,6,2004,Usa,Motorcycles,Gift Depot Inc.,108.14,411
10275,45,92.83,1,4177.35,2004-07-23,Shipped,3,7,2004,France,Motorcycles,La Rochelle Gifts,92.83000000000001,601
10285,36,100.0,6,4099.68,2004-08-27,Shipped,3,8,2004,Usa,Motorcycles,Marta'S Replicas Co.,113.88000000000001,474
10299,23,100.0,9,2597.39,2004-09-30,Shipped,3,9,2004,Finland,Motorcycles,"Toys Of Finland, Co.",112.92999999999999,382
10309,41,100.0,5,4394.38,2004-10-15,Shipped,4,10,2004,Norway,Motorcycles,Baane Mini Imports,107.18,190
10318,46,94.74,1,4358.04,2004-11-02,Shipped,4,11,2004,Usa,Motorcycles,Diecast Classics Inc.,94.74,372
10329,42,100.0,1,4396.14,2004-11-15,Shipped,4,11,2004,Usa,Motorcycles,Land Of Toys Inc.,104.67,532
10341,41,100.0,9,7737.93,2004-11-24,Shipped,4,11,2004,Austria,Motorcycles,Salzburg Collectables,188.73000000000002,411
10361,20,72.55,13,1451.0,2004-12-17,Shipped,4,12,2004,Australia,Motorcycles,Souveniers And Things Co.,72.55,429
10375,21,34.91,12,733.11,2005-02-03,Shipped,1,2,2005,France,Motorcycles,La Rochelle Gifts,34.910000000000004,560
10388,42,76.36,4,3207.12,2005-03-03,Shipped,1,3,2005,Usa,Motorcycles,Fungiftideas.Com,76.36,315
10403,24,100.0,7,2434.56,2005-04-08,Shipped,2,4,2005,Uk,Motorcycles,"Uk Collectables, Ltd.",101.44,371
10417,66,100.0,2,7516.08,2005-05-13,Disputed,2,5,2005,Spain,Motorcycles,Euro Shopping Channel,113.88,259
10103,26,100.0,11,5404.62,2003-01-29,Shipped,1,1,2003,Norway,Classic Cars,Baane Mini Imports,207.87,541
10112,29,100.0,1,7209.11,2003-03-24,Shipped,1,3,2003,Sweden,Classic Cars,"Volvo Model Replicas, Co",248.58999999999997,52
10126,38,100.0,11,7329.06,2003-05-28,Shipped,2,5,2003,Spain,Classic Cars,"Corrida Auto Replicas, Ltd",192.87,617
10140,37,100.0,11,7374.1,2003-07-24,Shipped,3,7,2003,Usa,Classic Cars,Technics Stores Inc.,199.3,385
10150,45,100.0,8,10993.5,2003-09-19,Shipped,3,9,2003,Singapore,Classic Cars,"Dragon Souveniers, Ltd.",244.3,380
10163,21,100.0,1,4860.24,2003-10-20,Shipped,4,10,2003,Usa,Classic Cars,Classic Legends Inc.,231.44,225
10174,34,100.0,4,8014.82,2003-11-06,Shipped,4,11,2003,Australia,Classic Cars,"Australian Gift Network, Co",235.73,220
10183,23,100.0,8,5372.57,2003-11-13,Shipped,4,11,2003,Usa,Classic Cars,"Classic Gift Ideas, Inc",233.58999999999997,391
